account_from;account_to;sender;receiver;amount;channel;currency;date;flag;location;transaction_type;transaction_id
Account 4;Account 6;Businesses 4;Businesses 6;8774.32;Paym;GBP;1/01/2021 9:03;transaction;UK;2.2;0
Account 4;Account 6;Businesses 4;Businesses 6;56547.95;LINK;GBP;1/01/2021 9:03;transaction;UK;2.2;1
Account 4;Account 6;Businesses 4;Businesses 6;17.1;C&CCC;GBP;1/01/2021 9:03;transaction;UK;0.1;2
Account 15;Account 61;Fraudulent_individuals 5;Individuals 51;60.63;FPS;GBP;1/01/2021 9:03;transaction;UK;0.2;3
Account 15;Account 61;Fraudulent_individuals 5;Individuals 51;33.47;C&CCC;GBP;1/01/2021 9:03;transaction;UK;0.2;4
Account 15;Account 61;Fraudulent_individuals 5;Individuals 51;3.46;FPS;GBP;1/01/2021 9:03;transaction;UK;0.2;5
Account 8;Account 100;Businesses 8;Fraudulent_individuals 5;20000;Paym;GBP;1/01/2021 9:03;fraud;UK;pay false service;6
Account 50;Account 93;Individuals 40;Individuals 83;116.69;CHAPS;GBP;1/01/2021 9:03;transaction;UK;0.2;7
Account 89;Account 46;Individuals 79;Individuals 36;10.12;LINK;GBP;1/01/2021 9:03;transaction;UK;0.2;8
Account 89;Account 46;Individuals 79;Individuals 36;74.66;Bacs;GBP;1/01/2021 9:03;transaction;UK;0.2;9
Account 14;Account 80;Fraudulent_individuals 4;Individuals 70;18.39;CHAPS;GBP;1/01/2021 9:03;transaction;UK;0.2;10
Account 7;Account 101;Businesses 7;Fraudulent_individuals 4;20000;Paym;GBP;1/01/2021 9:03;fraud;UK;pay false service;11
Account 7;Account 102;Businesses 7;Fraudulent_individuals 3;20000;FPS;GBP;1/01/2021 9:03;fraud;UK;pay false service;12
Account 6;Account 8;Businesses 6;Businesses 8;494.67;FPS;GBP;1/01/2021 9:03;transaction;UK;3.3;13
Account 6;Account 8;Businesses 6;Businesses 8;280.56;FPS;GBP;1/01/2021 9:03;transaction;UK;3.3;14
Account 87;Account 72;Individuals 77;Individuals 62;73.23;LINK;GBP;1/01/2021 9:03;transaction;UK;0.2;15
Account 36;Account 58;Individuals 26;Individuals 48;1.59;CHAPS;GBP;1/01/2021 9:03;transaction;UK;0.2;16
Account 9;Account 103;Businesses 9;Fraudulent_individuals 7;20000;Bacs;GBP;1/01/2021 9:03;fraud;UK;pay false service;17
Account 46;Account 52;Individuals 36;Individuals 42;11.34;LINK;GBP;1/01/2021 9:03;transaction;UK;0.2;18
Account 46;Account 52;Individuals 36;Individuals 42;56.9;CHAPS;GBP;1/01/2021 9:03;transaction;UK;0.2;19
Account 78;Account 12;Individuals 68;Fraudulent_individuals 2;38.6;CHAPS;GBP;1/01/2021 9:03;transaction;UK;0.2;20
Account 81;Account 26;Individuals 71;Individuals 16;65.51;FPS;GBP;1/01/2021 9:03;transaction;UK;0.2;21
Account 49;Account 30;Individuals 39;Individuals 20;75.52;FPS;GBP;1/01/2021 9:03;transaction;UK;0.2;22
Account 31;Account 66;Individuals 21;Individuals 56;47.68;Paym;GBP;1/01/2021 9:03;transaction;UK;0.2;23
Account 31;Account 66;Individuals 21;Individuals 56;15.34;LINK;GBP;1/01/2021 9:03;transaction;UK;0.2;24
Account 63;Account 15;Individuals 53;Fraudulent_individuals 5;60.79;Bacs;GBP;1/01/2021 9:03;transaction;UK;0.2;25
Account 6;Account 104;Businesses 6;Fraudulent_individuals 6;20000;Bacs;GBP;1/01/2021 9:03;fraud;UK;pay false service;26
Account 12;Account 18;Fraudulent_individuals 2;Fraudulent_individuals 8;168.64;CHAPS;GBP;1/01/2021 9:03;transaction;UK;0.2;27
Account 8;Account 105;Businesses 8;Fraudulent_individuals 2;20000;C&CCC;GBP;1/01/2021 9:03;fraud;UK;pay false service;28
Account 91;Account 6;Individuals 81;Businesses 6;10.33;CHAPS;GBP;1/01/2021 9:03;transaction;UK;0.2;29
Account 91;Account 14;Individuals 81;Fraudulent_individuals 4;44.76;Paym;GBP;1/01/2021 9:03;transaction;UK;0.2;30
Account 91;Account 14;Individuals 81;Fraudulent_individuals 4;41.03;Bacs;GBP;1/01/2021 9:03;transaction;UK;0.2;31
Account 38;Account 65;Individuals 28;Individuals 55;16.35;CHAPS;GBP;1/01/2021 9:03;transaction;UK;0.2;32
Account 68;Account 14;Individuals 58;Fraudulent_individuals 4;42.67;Paym;GBP;1/01/2021 9:03;transaction;UK;0.2;33
Account 3;Account 9;Businesses 3;Businesses 9;133.25;FPS;GBP;1/01/2021 9:03;transaction;UK;0.1;34
Account 3;Account 9;Businesses 3;Businesses 9;1002;FPS;GBP;1/01/2021 9:03;transaction;UK;0.1;35
Account 3;Account 9;Businesses 3;Businesses 9;1572.58;C&CCC;GBP;1/01/2021 9:03;transaction;UK;0.1;36
Account 3;Account 9;Businesses 3;Businesses 9;122636.81;CHAPS;GBP;1/01/2021 9:03;transaction;UK;2.2;37
Account 3;Account 9;Businesses 3;Businesses 9;441.36;LINK;GBP;1/01/2021 9:03;transaction;UK;0.1;38
Account 3;Account 9;Businesses 3;Businesses 9;3070.57;LINK;GBP;1/01/2021 9:03;transaction;UK;0.1;39
Account 3;Account 9;Businesses 3;Businesses 9;528.91;C&CCC;GBP;1/01/2021 9:03;transaction;UK;0.1;40
Account 3;Account 9;Businesses 3;Businesses 9;170.87;FPS;GBP;1/01/2021 9:03;transaction;UK;0.1;41
Account 3;Account 9;Businesses 3;Businesses 9;424.22;LINK;GBP;1/01/2021 9:03;transaction;UK;0.1;42
Account 3;Account 9;Businesses 3;Businesses 9;27.61;FPS;GBP;1/01/2021 9:03;transaction;UK;0.1;43
Account 0;Account 106;Fraudulent_businesses 0;Fraudulent_individuals 0;20000;LINK;GBP;1/01/2021 9:03;fraud;UK;pay false service;44
Account 77;Account 57;Individuals 67;Individuals 47;41.03;FPS;GBP;1/01/2021 9:03;transaction;UK;0.2;45
Account 42;Account 56;Individuals 32;Individuals 46;11.38;FPS;GBP;1/01/2021 9:03;transaction;UK;0.2;46
Account 64;Account 95;Individuals 54;Individuals 85;7.29;CHAPS;GBP;1/01/2021 9:03;transaction;UK;0.2;47
Account 99;Account 15;Individuals 89;Fraudulent_individuals 5;109.79;C&CCC;GBP;1/01/2021 9:03;transaction;UK;0.2;48
Account 2;Account 5;Businesses 2;Businesses 5;344.74;LINK;GBP;1/01/2021 9:03;transaction;UK;0.1;49
Account 3;Account 107;Businesses 3;Fraudulent_individuals 1;20000;LINK;GBP;1/01/2021 9:03;fraud;UK;pay false service;50
Account 9;Account 6;Businesses 9;Businesses 6;34089.39;Bacs;GBP;1/01/2021 9:03;transaction;UK;2.2;51
Account 56;Account 92;Individuals 46;Individuals 82;67.81;FPS;GBP;1/01/2021 9:03;transaction;UK;0.2;52
Account 0;Account 5;Fraudulent_businesses 0;Businesses 5;1222.94;CHAPS;GBP;1/01/2021 9:03;transaction;UK;0.1;53
Account 0;Account 5;Fraudulent_businesses 0;Businesses 5;2190;Bacs;GBP;1/01/2021 9:03;transaction;UK;0.1;54
Account 0;Account 96;Fraudulent_businesses 0;Individuals 86;2000;CASH;GBP;1/01/2021 9:03;fraud;UK;bribe;55
Account 47;Account 64;Individuals 37;Individuals 54;16.32;CHAPS;GBP;1/01/2021 9:03;transaction;UK;0.2;56
Account 47;Account 64;Individuals 37;Individuals 54;35.86;Paym;GBP;1/01/2021 9:03;transaction;UK;0.2;57
Account 1;Account 6;Businesses 1;Businesses 6;2330.28;FPS;GBP;1/01/2021 9:03;transaction;UK;0.1;58
Account 1;Account 6;Businesses 1;Businesses 6;588.07;CHAPS;GBP;1/01/2021 9:03;transaction;UK;0.1;59
Account 48;Account 18;Individuals 38;Fraudulent_individuals 8;10.49;FPS;GBP;1/01/2021 9:03;transaction;UK;0.2;60
Account 1;Account 108;Businesses 1;Fraudulent_individuals 8;20000;Paym;GBP;1/01/2021 9:03;fraud;UK;pay false service;61
Account 85;Account 13;Individuals 75;Fraudulent_individuals 3;11.92;CHAPS;GBP;1/01/2021 9:03;transaction;UK;0.2;62
Account 34;Account 16;Individuals 24;Fraudulent_individuals 6;10.51;C&CCC;GBP;1/01/2021 9:03;transaction;UK;0.2;63
Account 48;Account 18;Individuals 38;Fraudulent_individuals 8;138.8;FPS;GBP;2/01/2021 9:03;transaction;UK;0.2;64
Account 3;Account 9;Businesses 3;Businesses 9;2725.86;CHAPS;GBP;2/01/2021 9:03;transaction;UK;0.1;65
Account 3;Account 9;Businesses 3;Businesses 9;763.81;C&CCC;GBP;2/01/2021 9:03;transaction;UK;0.1;66
Account 3;Account 9;Businesses 3;Businesses 9;414.24;CHAPS;GBP;2/01/2021 9:03;transaction;UK;0.1;67
Account 3;Account 9;Businesses 3;Businesses 9;27205.76;C&CCC;GBP;2/01/2021 9:03;transaction;UK;2.2;68
Account 3;Account 9;Businesses 3;Businesses 9;503.75;Bacs;GBP;2/01/2021 9:03;transaction;UK;0.1;69
Account 3;Account 9;Businesses 3;Businesses 9;560.82;C&CCC;GBP;2/01/2021 9:03;transaction;UK;0.1;70
Account 3;Account 9;Businesses 3;Businesses 9;90.43;C&CCC;GBP;2/01/2021 9:03;transaction;UK;0.1;71
Account 3;Account 9;Businesses 3;Businesses 9;2069.7;Bacs;GBP;2/01/2021 9:03;transaction;UK;0.1;72
Account 3;Account 9;Businesses 3;Businesses 9;1352.4;CHAPS;GBP;2/01/2021 9:03;transaction;UK;0.1;73
Account 3;Account 9;Businesses 3;Businesses 9;512.81;C&CCC;GBP;2/01/2021 9:03;transaction;UK;0.1;74
Account 3;Account 9;Businesses 3;Businesses 9;62.84;FPS;GBP;2/01/2021 9:03;transaction;UK;0.1;75
Account 3;Account 9;Businesses 3;Businesses 9;991.52;LINK;GBP;2/01/2021 9:03;transaction;UK;0.1;76
Account 3;Account 9;Businesses 3;Businesses 9;909.07;FPS;GBP;2/01/2021 9:03;transaction;UK;0.1;77
Account 3;Account 9;Businesses 3;Businesses 9;222.44;CHAPS;GBP;2/01/2021 9:03;transaction;UK;0.1;78
Account 3;Account 9;Businesses 3;Businesses 9;66.93;LINK;GBP;2/01/2021 9:03;transaction;UK;0.1;79
Account 3;Account 9;Businesses 3;Businesses 9;2696.69;FPS;GBP;2/01/2021 9:03;transaction;UK;0.1;80
Account 3;Account 9;Businesses 3;Businesses 9;3104.17;C&CCC;GBP;2/01/2021 9:03;transaction;UK;0.1;81
Account 3;Account 9;Businesses 3;Businesses 9;1545.75;Bacs;GBP;2/01/2021 9:03;transaction;UK;0.1;82
Account 3;Account 9;Businesses 3;Businesses 9;2944.75;Bacs;GBP;2/01/2021 9:03;transaction;UK;0.1;83
Account 3;Account 9;Businesses 3;Businesses 9;793.52;FPS;GBP;2/01/2021 9:03;transaction;UK;0.1;84
Account 3;Account 9;Businesses 3;Businesses 9;340.57;Bacs;GBP;2/01/2021 9:03;transaction;UK;0.1;85
Account 3;Account 9;Businesses 3;Businesses 9;3258.22;CHAPS;GBP;2/01/2021 9:03;transaction;UK;0.1;86
Account 3;Account 9;Businesses 3;Businesses 9;3349.84;Paym;GBP;2/01/2021 9:03;transaction;UK;0.1;87
Account 3;Account 9;Businesses 3;Businesses 9;3853.92;FPS;GBP;2/01/2021 9:03;transaction;UK;0.1;88
Account 3;Account 9;Businesses 3;Businesses 9;2515.96;CHAPS;GBP;2/01/2021 9:03;transaction;UK;0.1;89
Account 3;Account 9;Businesses 3;Businesses 9;1732.76;CHAPS;GBP;2/01/2021 9:03;transaction;UK;0.1;90
Account 3;Account 9;Businesses 3;Businesses 9;137.12;FPS;GBP;2/01/2021 9:03;transaction;UK;0.1;91
Account 79;Account 29;Individuals 69;Individuals 19;16.23;FPS;GBP;2/01/2021 9:03;transaction;UK;0.2;92
Account 19;Account 97;Individuals 9;Individuals 87;62.86;C&CCC;GBP;2/01/2021 9:03;transaction;UK;0.2;93
Account 25;Account 4;Individuals 15;Businesses 4;72.73;FPS;GBP;2/01/2021 9:03;transaction;UK;0.2;94
Account 72;Account 27;Individuals 62;Individuals 17;17.91;C&CCC;GBP;2/01/2021 9:03;transaction;UK;0.2;95
Account 84;Account 60;Individuals 74;Individuals 50;11.32;C&CCC;GBP;2/01/2021 9:03;transaction;UK;0.2;96
Account 75;Account 78;Individuals 65;Individuals 68;13.93;LINK;GBP;2/01/2021 9:03;transaction;UK;0.2;97
Account 8;Account 4;Businesses 8;Businesses 4;990.73;LINK;GBP;2/01/2021 9:03;transaction;UK;0.1;98
Account 41;Account 50;Individuals 31;Individuals 40;60.19;C&CCC;GBP;2/01/2021 9:03;transaction;UK;0.2;99
Account 13;Account 80;Fraudulent_individuals 3;Individuals 70;4.62;C&CCC;GBP;2/01/2021 9:03;transaction;UK;0.2;100
Account 2;Account 5;Businesses 2;Businesses 5;64225.71;FPS;GBP;2/01/2021 9:03;transaction;UK;2.2;101
Account 18;Account 32;Fraudulent_individuals 8;Individuals 22;111.85;Paym;GBP;2/01/2021 9:03;transaction;UK;0.2;102
Account 18;Account 32;Fraudulent_individuals 8;Individuals 22;135.69;Paym;GBP;2/01/2021 9:03;transaction;UK;0.2;103
Account 68;Account 14;Individuals 58;Fraudulent_individuals 4;67.71;Bacs;GBP;2/01/2021 9:03;transaction;UK;0.2;104
Account 87;Account 72;Individuals 77;Individuals 62;35.23;C&CCC;GBP;2/01/2021 9:03;transaction;UK;0.2;105
Account 87;Account 72;Individuals 77;Individuals 62;15.87;LINK;GBP;2/01/2021 9:03;transaction;UK;0.2;106
Account 87;Account 72;Individuals 77;Individuals 62;73.98;LINK;GBP;2/01/2021 9:03;transaction;UK;0.2;107
Account 87;Account 72;Individuals 77;Individuals 62;7.89;LINK;GBP;2/01/2021 9:03;transaction;UK;0.2;108
Account 73;Account 62;Individuals 63;Individuals 52;18.88;CHAPS;GBP;2/01/2021 9:03;transaction;UK;0.2;109
Account 15;Account 61;Fraudulent_individuals 5;Individuals 51;1.91;FPS;GBP;2/01/2021 9:03;transaction;UK;0.2;110
Account 5;Account 4;Businesses 5;Businesses 4;227.31;C&CCC;GBP;2/01/2021 9:03;transaction;UK;1.2;111
Account 1;Account 6;Businesses 1;Businesses 6;222.62;FPS;GBP;2/01/2021 9:03;transaction;UK;3.3;112
Account 1;Account 89;Businesses 1;Individuals 79;2218.57;FPS;GBP;2/01/2021 9:03;transaction;UK;5;113
Account 1;Account 6;Businesses 1;Businesses 6;92.3;FPS;GBP;2/01/2021 9:03;transaction;UK;0.1;114
Account 1;Account 6;Businesses 1;Businesses 6;629.14;C&CCC;GBP;2/01/2021 9:03;transaction;UK;0.1;115
Account 99;Account 15;Individuals 89;Fraudulent_individuals 5;59.55;C&CCC;GBP;2/01/2021 9:03;transaction;UK;0.2;116
Account 83;Account 96;Individuals 73;Individuals 86;38.4;CHAPS;GBP;2/01/2021 9:03;transaction;UK;0.2;117
Account 83;Account 96;Individuals 73;Individuals 86;57.13;CHAPS;GBP;2/01/2021 9:03;transaction;UK;0.2;118
Account 83;Account 96;Individuals 73;Individuals 86;24.11;C&CCC;GBP;2/01/2021 9:03;transaction;UK;0.2;119
Account 0;Account 96;Fraudulent_businesses 0;Individuals 86;3611.14;C&CCC;GBP;2/01/2021 9:03;transaction;UK;5;120
Account 24;Account 37;Individuals 14;Individuals 27;61.96;C&CCC;GBP;2/01/2021 9:03;transaction;UK;0.2;121
Account 46;Account 52;Individuals 36;Individuals 42;31.59;Bacs;GBP;2/01/2021 9:03;transaction;UK;0.2;122
Account 30;Account 66;Individuals 20;Individuals 56;90.23;Paym;GBP;2/01/2021 9:03;transaction;UK;0.2;123
Account 30;Account 66;Individuals 20;Individuals 56;6.19;FPS;GBP;2/01/2021 9:03;transaction;UK;0.2;124
Account 86;Account 14;Individuals 76;Fraudulent_individuals 4;23.11;LINK;GBP;2/01/2021 9:03;transaction;UK;0.2;125
Account 26;Account 58;Individuals 16;Individuals 48;122.24;FPS;GBP;2/01/2021 9:03;transaction;UK;0.2;126
Account 65;Account 86;Individuals 55;Individuals 76;3.29;Paym;GBP;2/01/2021 9:03;transaction;UK;0.2;127
Account 77;Account 57;Individuals 67;Individuals 47;7.78;C&CCC;GBP;2/01/2021 9:03;transaction;UK;0.2;128
Account 77;Account 57;Individuals 67;Individuals 47;67.49;CHAPS;GBP;2/01/2021 9:03;transaction;UK;0.2;129
Account 4;Account 6;Businesses 4;Businesses 6;4987.87;FPS;GBP;2/01/2021 9:03;transaction;UK;0.1;130
Account 4;Account 6;Businesses 4;Businesses 6;775.86;LINK;GBP;2/01/2021 9:03;transaction;UK;0.1;131
Account 4;Account 6;Businesses 4;Businesses 6;849.34;CHAPS;GBP;2/01/2021 9:03;transaction;UK;0.1;132
Account 4;Account 6;Businesses 4;Businesses 6;328.93;CHAPS;GBP;2/01/2021 9:03;transaction;UK;0.1;133
Account 4;Account 6;Businesses 4;Businesses 6;3378.83;CHAPS;GBP;2/01/2021 9:03;transaction;UK;0.1;134
Account 4;Account 6;Businesses 4;Businesses 6;1075.65;C&CCC;GBP;2/01/2021 9:03;transaction;UK;0.1;135
Account 4;Account 6;Businesses 4;Businesses 6;1439.09;LINK;GBP;2/01/2021 9:03;transaction;UK;0.1;136
Account 4;Account 6;Businesses 4;Businesses 6;651.9;C&CCC;GBP;2/01/2021 9:03;transaction;UK;0.1;137
Account 4;Account 6;Businesses 4;Businesses 6;149.78;CHAPS;GBP;2/01/2021 9:03;transaction;UK;0.1;138
Account 4;Account 6;Businesses 4;Businesses 6;2915.88;FPS;GBP;2/01/2021 9:03;transaction;UK;0.1;139
Account 4;Account 6;Businesses 4;Businesses 6;753.37;C&CCC;GBP;2/01/2021 9:03;transaction;UK;0.1;140
Account 4;Account 6;Businesses 4;Businesses 6;1169.4;Bacs;GBP;2/01/2021 9:03;transaction;UK;0.1;141
Account 89;Account 46;Individuals 79;Individuals 36;17.49;LINK;GBP;2/01/2021 9:03;transaction;UK;0.2;142
Account 9;Account 72;Businesses 9;Individuals 62;3736.37;LINK;GBP;2/01/2021 9:03;transaction;UK;5;143
Account 9;Account 6;Businesses 9;Businesses 6;586.84;FPS;GBP;2/01/2021 9:03;transaction;UK;0.1;144
Account 9;Account 6;Businesses 9;Businesses 6;291.16;Paym;GBP;2/01/2021 9:03;transaction;UK;0.1;145
Account 9;Account 6;Businesses 9;Businesses 6;135.91;FPS;GBP;2/01/2021 9:03;transaction;UK;0.1;146
Account 9;Account 6;Businesses 9;Businesses 6;1767.26;Paym;GBP;2/01/2021 9:03;transaction;UK;0.1;147
Account 9;Account 6;Businesses 9;Businesses 6;472.89;LINK;GBP;2/01/2021 9:03;transaction;UK;0.1;148
Account 9;Account 6;Businesses 9;Businesses 6;2022.46;C&CCC;GBP;2/01/2021 9:03;transaction;UK;0.1;149
Account 9;Account 6;Businesses 9;Businesses 6;1153.68;FPS;GBP;2/01/2021 9:03;transaction;UK;0.1;150
Account 9;Account 6;Businesses 9;Businesses 6;1098.34;Bacs;GBP;2/01/2021 9:03;transaction;UK;0.1;151
Account 9;Account 6;Businesses 9;Businesses 6;1548.23;Bacs;GBP;2/01/2021 9:03;transaction;UK;0.1;152
Account 9;Account 6;Businesses 9;Businesses 6;871.2;Paym;GBP;2/01/2021 9:03;transaction;UK;0.1;153
Account 9;Account 6;Businesses 9;Businesses 6;52.93;CHAPS;GBP;2/01/2021 9:03;transaction;UK;0.1;154
Account 84;Account 60;Individuals 74;Individuals 50;47.97;CHAPS;GBP;3/01/2021 9:03;transaction;UK;0.2;155
Account 36;Account 58;Individuals 26;Individuals 48;60.17;FPS;GBP;3/01/2021 9:03;transaction;UK;0.2;156
Account 32;Account 52;Individuals 22;Individuals 42;48.64;CHAPS;GBP;3/01/2021 9:03;transaction;UK;0.2;157
Account 78;Account 12;Individuals 68;Fraudulent_individuals 2;48.66;FPS;GBP;3/01/2021 9:03;transaction;UK;0.2;158
Account 26;Account 58;Individuals 16;Individuals 48;246.48;C&CCC;GBP;3/01/2021 9:03;transaction;UK;0.2;159
Account 86;Account 14;Individuals 76;Fraudulent_individuals 4;15.76;LINK;GBP;3/01/2021 9:03;transaction;UK;0.2;160
Account 86;Account 14;Individuals 76;Fraudulent_individuals 4;23.34;LINK;GBP;3/01/2021 9:03;transaction;UK;0.2;161
Account 7;Account 9;Businesses 7;Businesses 9;880.5;C&CCC;GBP;3/01/2021 9:03;transaction;UK;0.1;162
Account 7;Account 9;Businesses 7;Businesses 9;326.39;Bacs;GBP;3/01/2021 9:03;transaction;UK;3.3;163
Account 7;Account 91;Businesses 7;Individuals 81;2087.05;LINK;GBP;3/01/2021 9:03;transaction;UK;5;164
